"Date","Ozone AQI Value","Main Pollutant","Site Name","Site ID","Source"
"08/06/2017","33","","BABYLON","36-103-0002","AQS"
"08/07/2017","33","","SUSAN WAGNER HS","36-085-0067","AQS"
"08/08/2017","37","","Monmouth University","34-025-0005","AQS"
"08/09/2017","87","","SUSAN WAGNER HS","36-085-0067","AQS"
"08/10/2017","71","","Chester","34-027-3001","AQS"
"08/11/2017","71","","MILLBROOK","36-027-0007","AQS"
"08/12/2017","44","","MILLBROOK","36-027-0007","AQS"
"08/13/2017","44","","QUEENS COLLEGE 2","36-081-0124","AQS"
"08/14/2017","45","","Ramapo","34-031-5001","AQS"
"08/15/2017","43","","RIVERHEAD","36-103-0004","AQS"
"08/16/2017","67","","Monmouth University","34-025-0005","AQS"
"08/17/2017","61","","Chester","34-027-3001","AQS"
"08/18/2017","35","","RIVERHEAD","36-103-0004","AQS"
"08/19/2017","77","","BABYLON","36-103-0002","AQS"
"08/20/2017","39","","RIVERHEAD","36-103-0004","AQS"
"08/21/2017","64","","Leonia","34-003-0006","AQS"
"08/22/2017","90","","MT NINHAM","36-079-0005","AQS"
"08/23/2017","42","","Colliers Mills","34-029-0006","AQS"
"08/24/2017","43","","RIVERHEAD","36-103-0004","AQS"
"08/25/2017","36","","Colliers Mills","34-029-0006","AQS"
"08/26/2017","48","","SUSAN WAGNER HS","36-085-0067","AQS"
"08/27/2017","44","","Flemington","34-019-0001","AQS"
"08/28/2017","38","","Chester","34-027-3001","AQS"
"08/29/2017","28","","RIVERHEAD","36-103-0004","AQS"
"08/30/2017","41","","QUEENS COLLEGE 2","36-081-0124","AQS"
"08/31/2017","48","","Colliers Mills","34-029-0006","AQS"
"09/01/2017","34","","BABYLON","36-103-0002","AQS"
"09/02/2017","35","","Rutgers University","34-023-0011","AQS"
"09/03/2017","34","","RIVERHEAD","36-103-0004","AQS"
"09/04/2017","47","","Rutgers University","34-023-0011","AQS"
"09/05/2017","61","","Rockland County","36-087-0005","AQS"
"09/06/2017","37","","RIVERHEAD","36-103-0004","AQS"
"09/07/2017","45","","RIVERHEAD","36-103-0004","AQS"
"09/08/2017","35","","RIVERHEAD","36-103-0004","AQS"
