"Date","PM2.5 AQI Value","Main Pollutant","Site Name","Site ID","Source"
"05/07/2014","45","","Miami Fire Station","12-086-1016","AQS"
"05/08/2014","51","","Miami Fire Station","12-086-1016","AQS"
"05/09/2014","60","","Miami Fire Station","12-086-1016","AQS"
"05/10/2014","52","","Miami Fire Station","12-086-1016","AQS"
"05/11/2014","39","","Miami Fire Station","12-086-1016","AQS"
"05/12/2014","52","","Miami Fire Station","12-086-1016","AQS"
"05/13/2014","35","","Miami Fire Station","12-086-1016","AQS"
"05/14/2014","32","","Miami Fire Station","12-086-1016","AQS"
"05/15/2014","30","","Miami Fire Station","12-086-1016","AQS"
"05/16/2014","33","","Miami Fire Station","12-086-1016","AQS"
"05/17/2014","42","","Miami Fire Station","12-086-1016","AQS"
"05/18/2014","41","","HOMESTEAD FIRE STATION","12-086-6001","AQS"
"05/19/2014","45","","Miami Fire Station","12-086-1016","AQS"
"05/20/2014","45","","Miami Fire Station","12-086-1016","AQS"
"05/21/2014","35","","Belle Glade","12-099-0008","AQS"
"05/22/2014","43","","Miami Fire Station","12-086-1016","AQS"
"05/23/2014","60","","Royal Palm Beach","12-099-0009","AQS"
"05/24/2014","65","","Belle Glade","12-099-0008","AQS"
"05/25/2014","63","","Belle Glade","12-099-0008","AQS"
"05/26/2014","47","","Belle Glade","12-099-0008","AQS"
"05/27/2014","43","","Belle Glade","12-099-0008","AQS"
"05/28/2014","32","","Miami Fire Station","12-086-1016","AQS"
"05/29/2014","28","","Miami Fire Station","12-086-1016","AQS"
"05/30/2014","28","","Miami Fire Station","12-086-1016","AQS"
"05/31/2014","26","","Miami Fire Station","12-086-1016","AQS"
"06/01/2014","26","","Miami Fire Station","12-086-1016","AQS"
"06/02/2014","35","","Miami Fire Station","12-086-1016","AQS"
"06/03/2014","39","","Miami Fire Station","12-086-1016","AQS"
"06/04/2014","42","","Miami Fire Station","12-086-1016","AQS"
"06/05/2014","42","","Miami Fire Station","12-086-1016","AQS"
"06/06/2014","54","","HOMESTEAD FIRE STATION","12-086-6001","AQS"
"06/07/2014","59","","HOMESTEAD FIRE STATION","12-086-6001","AQS"
"06/08/2014","59","","Royal Palm Beach","12-099-0009","AQS"
"06/09/2014","123","","Miami Fire Station","12-086-1016","AQS"
"06/10/2014","67","","Belle Glade","12-099-0008","AQS"
"06/11/2014","38","","Miami Fire Station","12-086-1016","AQS"
"06/12/2014","30","","Miami Fire Station","12-086-1016","AQS"
