Date,PM2.5 AQI Value,Site Name,Site ID,Source
07/03/2020,53,Los Angeles-north Main Street,06-037-1103,AQS
07/04/2020,169,Los Angeles-north Main Street,06-037-1103,AQS
07/05/2020,225,Los Angeles-north Main Street,06-037-1103,AQS
07/06/2020,69,Los Angeles-north Main Street,06-037-1103,AQS
07/07/2020,68,Glendora,06-037-0016,AQS
07/08/2020,68,Long Beach (south),06-037-4004,AQS
07/09/2020,66,North Hollywood (noho),06-037-4010,AQS
07/10/2020,69,Glendora,06-037-0016,AQS
07/11/2020,59,North Hollywood (noho),06-037-4010,AQS
07/12/2020,60,North Hollywood (noho),06-037-4010,AQS
07/13/2020,69,North Hollywood (noho),06-037-4010,AQS
07/14/2020,63,North Hollywood (noho),06-037-4010,AQS
07/15/2020,57,North Hollywood (noho),06-037-4010,AQS
07/16/2020,55,Glendora,06-037-0016,AQS
07/17/2020,51,Glendora,06-037-0016,AQS
07/18/2020,42,Glendora,06-037-0016,AQS
07/19/2020,47,Glendora,06-037-0016,AQS
07/20/2020,52,Glendora,06-037-0016,AQS
07/21/2020,59,Glendora,06-037-0016,AQS
07/22/2020,54,Glendora,06-037-0016,AQS
07/23/2020,57,Reseda,06-037-1201,AQS
07/24/2020,57,Reseda,06-037-1201,AQS
07/25/2020,58,Glendora,06-037-0016,AQS
07/26/2020,55,Glendora,06-037-0016,AQS
07/27/2020,57,Reseda,06-037-1201,AQS
07/28/2020,57,Glendora,06-037-0016,AQS
07/29/2020,60,Glendora,06-037-0016,AQS
07/30/2020,61,Glendora,06-037-0016,AQS
07/31/2020,62,Los Angeles-north Main Street,06-037-1103,AQS
08/01/2020,70,North Hollywood (noho),06-037-4010,AQS
08/02/2020,70,North Hollywood (noho),06-037-4010,AQS
08/03/2020,71,North Hollywood (noho),06-037-4010,AQS
08/04/2020,67,North Hollywood (noho),06-037-4010,AQS
08/05/2020,61,North Hollywood (noho),06-037-4010,AQS
08/06/2020,57,North Hollywood (noho),06-037-4010,AQS
08/07/2020,58,North Hollywood (noho),06-037-4010,AQS
08/08/2020,62,Glendora,06-037-0016,AQS
08/09/2020,57,Glendora,06-037-0016,AQS
08/10/2020,55,Glendora,06-037-0016,AQS
08/11/2020,50,North Hollywood (noho),06-037-4010,AQS
08/12/2020,53,North Hollywood (noho),06-037-4010,AQS
08/13/2020,63,Lancaster-division Street,06-037-9033,AQS
08/14/2020,111,Glendora,06-037-0016,AQS
08/15/2020,83,Lancaster-division Street,06-037-9033,AQS
08/16/2020,133,Lancaster-division Street,06-037-9033,AQS
08/17/2020,93,Lancaster-division Street,06-037-9033,AQS
08/18/2020,102,Lancaster-division Street,06-037-9033,AQS
08/19/2020,97,Lancaster-division Street,06-037-9033,AQS
08/20/2020,153,Lancaster-division Street,06-037-9033,AQS
08/21/2020,161,Lancaster-division Street,06-037-9033,AQS
08/22/2020,82,North Hollywood (noho),06-037-4010,AQS
08/23/2020,75,North Hollywood (noho),06-037-4010,AQS
08/24/2020,62,North Hollywood (noho),06-037-4010,AQS
08/25/2020,60,North Hollywood (noho),06-037-4010,AQS
08/26/2020,56,North Hollywood (noho),06-037-4010,AQS
08/27/2020,68,North Hollywood (noho),06-037-4010,AQS
08/28/2020,62,North Hollywood (noho),06-037-4010,AQS
08/29/2020,54,Long Beach (south),06-037-4004,AQS
08/30/2020,55,North Hollywood (noho),06-037-4010,AQS
08/31/2020,55,Glendora,06-037-0016,AQS
09/01/2020,57,North Hollywood (noho),06-037-4010,AQS
09/02/2020,55,Reseda,06-037-1201,AQS
09/03/2020,73,Lancaster-division Street,06-037-9033,AQS
09/04/2020,80,Glendora,06-037-0016,AQS
09/05/2020,84,Los Angeles-north Main Street,06-037-1103,AQS
09/06/2020,82,Long Beach-route 710 Near Road,06-037-4008,AQS
09/07/2020,161,Lancaster-division Street,06-037-9033,AQS
09/08/2020,127,Lancaster-division Street,06-037-9033,AQS
09/09/2020,95,Azusa,06-037-0002,AQS
09/10/2020,158,Glendora,06-037-0016,AQS
09/11/2020,199,Glendora,06-037-0016,AQS
09/12/2020,179,Glendora,06-037-0016,AQS
09/13/2020,165,Glendora,06-037-0016,AQS
09/14/2020,159,Glendora,06-037-0016,AQS
09/15/2020,161,Long Beach-route 710 Near Road,06-037-4008,AQS
09/16/2020,159,Glendora,06-037-0016,AQS
09/17/2020,91,Glendora,06-037-0016,AQS
09/18/2020,84,Los Angeles-north Main Street,06-037-1103,AQS
09/19/2020,100,Glendora,06-037-0016,AQS
09/20/2020,81,North Hollywood (noho),06-037-4010,AQS
