Date,Sulfur Dioxide AQI Value,Site Name,Site ID,Source
07/21/2011,7,Jersey City,34-017-1002,AQS
07/22/2011,13,Jersey City,34-017-1002,AQS
07/23/2011,29,Chester,34-027-3001,AQS
07/24/2011,13,Jersey City,34-017-1002,AQS
07/25/2011,37,Bayonne,34-017-0006,AQS
07/26/2011,17,Bayonne,34-017-0006,AQS
07/27/2011,14,Bayonne,34-017-0006,AQS
07/28/2011,24,Bayonne,34-017-0006,AQS
07/29/2011,9,Newark Firehouse,34-013-0003,AQS
07/30/2011,10,Bayonne,34-017-0006,AQS
07/31/2011,9,Bayonne,34-017-0006,AQS
08/01/2011,16,Bayonne,34-017-0006,AQS
08/02/2011,11,Bayonne,34-017-0006,AQS
08/03/2011,33,Elizabeth Lab,34-039-0004,AQS
08/04/2011,13,Elizabeth Lab,34-039-0004,AQS
08/05/2011,19,Bayonne,34-017-0006,AQS
08/06/2011,9,Elizabeth Lab,34-039-0004,AQS
08/07/2011,27,Chester,34-027-3001,AQS
08/08/2011,23,Chester,34-027-3001,AQS
08/09/2011,10,Elizabeth Lab,34-039-0004,AQS
08/10/2011,21,Bayonne,34-017-0006,AQS
08/11/2011,7,Bayonne,34-017-0006,AQS
08/12/2011,33,Bayonne,34-017-0006,AQS
08/13/2011,31,Bayonne,34-017-0006,AQS
08/14/2011,13,Elizabeth Lab,34-039-0004,AQS
08/15/2011,16,Elizabeth Lab,34-039-0004,AQS
08/16/2011,7,Pfizer Lab Site,36-005-0133,AQS
08/17/2011,11,Bayonne,34-017-0006,AQS
08/18/2011,9,Pfizer Lab Site,36-005-0133,AQS
08/19/2011,17,Elizabeth Lab,34-039-0004,AQS
08/20/2011,43,Elizabeth Lab,34-039-0004,AQS
08/21/2011,6,Bayonne,34-017-0006,AQS
08/22/2011,7,Bayonne,34-017-0006,AQS
08/23/2011,30,Chester,34-027-3001,AQS
08/24/2011,11,Pfizer Lab Site,36-005-0133,AQS
08/25/2011,4,Pfizer Lab Site,36-005-0133,AQS
08/26/2011,7,Queens College 2,36-081-0124,AQS
08/27/2011,3,Jersey City,34-017-1002,AQS
08/28/2011,3,Pfizer Lab Site,36-005-0133,AQS
08/29/2011,11,Pfizer Lab Site,36-005-0133,AQS
08/30/2011,10,Jersey City,34-017-1002,AQS
08/31/2011,17,Jersey City,34-017-1002,AQS
09/01/2011,47,Elizabeth Lab,34-039-0004,AQS
09/02/2011,16,Elizabeth Lab,34-039-0004,AQS
09/03/2011,11,Jersey City,34-017-1002,AQS
09/04/2011,11,Jersey City,34-017-1002,AQS
09/05/2011,6,Jersey City,34-017-1002,AQS
09/06/2011,4,Elizabeth Lab,34-039-0004,AQS
09/07/2011,7,Jersey City,34-017-1002,AQS
09/08/2011,6,Bayonne,34-017-0006,AQS
09/09/2011,16,Chester,34-027-3001,AQS
09/10/2011,16,Newark Firehouse,34-013-0003,AQS
09/11/2011,17,Elizabeth Lab,34-039-0004,AQS
09/12/2011,9,Jersey City,34-017-1002,AQS
09/13/2011,20,Pfizer Lab Site,36-005-0133,AQS
09/14/2011,14,Jersey City,34-017-1002,AQS
09/15/2011,11,Jersey City,34-017-1002,AQS
09/16/2011,4,Pfizer Lab Site,36-005-0133,AQS
09/17/2011,9,Elizabeth Lab,34-039-0004,AQS
09/18/2011,4,Jersey City,34-017-1002,AQS
09/19/2011,9,Jersey City,34-017-1002,AQS
09/20/2011,7,Jersey City,34-017-1002,AQS
09/21/2011,26,Elizabeth Lab,34-039-0004,AQS
09/22/2011,19,Bayonne,34-017-0006,AQS
09/23/2011,13,Elizabeth Lab,34-039-0004,AQS
09/24/2011,10,Pfizer Lab Site,36-005-0133,AQS
09/25/2011,10,Elizabeth Lab,34-039-0004,AQS
09/26/2011,17,Elizabeth Lab,34-039-0004,AQS
09/27/2011,16,Bayonne,34-017-0006,AQS
09/28/2011,6,Newark Firehouse,34-013-0003,AQS
09/29/2011,11,Bayonne,34-017-0006,AQS
09/30/2011,19,Elizabeth Lab,34-039-0004,AQS
10/01/2011,4,Bayonne,34-017-0006,AQS
10/02/2011,16,Elizabeth Lab,34-039-0004,AQS
10/03/2011,7,Bayonne,34-017-0006,AQS
10/04/2011,13,Pfizer Lab Site,36-005-0133,AQS
10/05/2011,4,Queens College 2,36-081-0124,AQS
10/06/2011,21,Pfizer Lab Site,36-005-0133,AQS
10/07/2011,14,Jersey City,34-017-1002,AQS
10/08/2011,14,Pfizer Lab Site,36-005-0133,AQS
10/09/2011,21,Pfizer Lab Site,36-005-0133,AQS
10/10/2011,21,Bayonne,34-017-0006,AQS
10/11/2011,9,Newark Firehouse,34-013-0003,AQS
10/12/2011,3,Jersey City,34-017-1002,AQS
10/13/2011,11,Elizabeth Lab,34-039-0004,AQS
10/14/2011,17,Elizabeth Lab,34-039-0004,AQS
10/15/2011,16,Bayonne,34-017-0006,AQS
10/16/2011,6,Bayonne,34-017-0006,AQS
10/17/2011,16,Bayonne,34-017-0006,AQS
10/18/2011,19,Bayonne,34-017-0006,AQS
10/19/2011,6,Elizabeth,34-039-0003,AQS
10/20/2011,11,Elizabeth Lab,34-039-0004,AQS
10/21/2011,17,Bayonne,34-017-0006,AQS
10/22/2011,27,Bayonne,34-017-0006,AQS
10/23/2011,9,Jersey City,34-017-1002,AQS
10/24/2011,20,Bayonne,34-017-0006,AQS
10/25/2011,24,Bayonne,34-017-0006,AQS
10/26/2011,14,Pfizer Lab Site,36-005-0133,AQS
10/27/2011,7,Jersey City,34-017-1002,AQS
10/28/2011,13,Pfizer Lab Site,36-005-0133,AQS
10/29/2011,4,Jersey City,34-017-1002,AQS
10/30/2011,27,Bayonne,34-017-0006,AQS
10/31/2011,29,Pfizer Lab Site,36-005-0133,AQS
11/01/2011,27,Pfizer Lab Site,36-005-0133,AQS
11/02/2011,31,Pfizer Lab Site,36-005-0133,AQS
