Date,AQI Value,Main Pollutant,Site Name,Site ID,Source
07/19/2015,108,Ozone,Susan Wagner Hs,36-085-0067,AQS
07/20/2015,126,Ozone,Babylon,36-103-0002,AQS
07/21/2015,101,Ozone,Riverhead,36-103-0004,AQS
07/22/2015,49,PM2.5,Fort Lee Near Road,34-003-0010,AQS
07/23/2015,49,Ozone,Monmouth University,34-025-0005,AQS
07/24/2015,87,Ozone,Susan Wagner Hs,36-085-0067,AQS
07/25/2015,126,Ozone,Monmouth University,34-025-0005,AQS
07/26/2015,77,Ozone,Leonia,34-003-0006,AQS
07/27/2015,80,Ozone,Rockland County,36-087-0005,AQS
07/28/2015,133,Ozone,Bayonne,34-017-0006,AQS
07/29/2015,136,Ozone,Rutgers University,34-023-0011,AQS
07/30/2015,64,PM2.5,Rahway,34-039-2003,AQS
07/31/2015,74,Ozone,Monmouth University,34-025-0005,AQS
08/01/2015,119,Ozone,Riverhead,36-103-0004,AQS
08/02/2015,74,Ozone,Susan Wagner Hs,36-085-0067,AQS
08/03/2015,93,Ozone,Bayonne,34-017-0006,AQS
08/04/2015,108,Ozone,Riverhead,36-103-0004,AQS
08/05/2015,84,Ozone,Colliers Mills,34-029-0006,AQS
08/06/2015,49,Ozone,Susan Wagner Hs,36-085-0067,AQS
08/07/2015,50,Ozone,Rutgers University,34-023-0011,AQS
08/08/2015,51,Ozone,Flemington,34-019-0001,AQS
08/09/2015,51,Ozone,Rutgers University,34-023-0011,AQS
08/10/2015,39,Ozone,Millbrook,36-027-0007,AQS
08/11/2015,38,Ozone,Colliers Mills,34-029-0006,AQS
08/12/2015,48,PM2.5,Fort Lee Near Road,34-003-0010,AQS
08/13/2015,50,Ozone,Monmouth University,34-025-0005,AQS
08/14/2015,87,Ozone,Colliers Mills,34-029-0006,AQS
08/15/2015,129,Ozone,Babylon,36-103-0002,AQS
08/16/2015,129,Ozone,Babylon,36-103-0002,AQS
08/17/2015,122,Ozone,Bayonne,34-017-0006,AQS
08/18/2015,87,Ozone,Ramapo,34-031-5001,AQS
08/19/2015,47,Ozone,Valley Central High School,36-071-5001,AQS
08/20/2015,32,PM2.5,Rahway,34-039-2003,AQS
08/21/2015,77,Ozone,Susan Wagner Hs,36-085-0067,AQS
08/22/2015,87,Ozone,Bayonne,34-017-0006,AQS
08/23/2015,74,Ozone,Rutgers University,34-023-0011,AQS
08/24/2015,112,Ozone,Rockland County,36-087-0005,AQS
08/25/2015,108,Ozone,Colliers Mills,34-029-0006,AQS
08/26/2015,61,Ozone,Riverhead,36-103-0004,AQS
08/27/2015,45,Ozone,Riverhead,36-103-0004,AQS
08/28/2015,46,Ozone,Babylon,36-103-0002,AQS
08/29/2015,105,Ozone,Bayonne,34-017-0006,AQS
08/30/2015,108,Ozone,Leonia,34-003-0006,AQS
08/31/2015,112,Ozone,Riverhead,36-103-0004,AQS
09/01/2015,136,Ozone,Rutgers University,34-023-0011,AQS
09/02/2015,115,Ozone,Rutgers University,34-023-0011,AQS
09/03/2015,161,Ozone,Colliers Mills,34-029-0006,AQS
09/04/2015,76,PM2.5,Rahway,34-039-2003,AQS
09/05/2015,64,PM2.5,Toms River,34-029-2002,AQS
09/06/2015,90,Ozone,Rockland County,36-087-0005,AQS
09/07/2015,101,Ozone,Ramapo,34-031-5001,AQS
09/08/2015,119,Ozone,Leonia,34-003-0006,AQS
09/09/2015,50,Ozone,Mt Ninham,36-079-0005,AQS
09/10/2015,58,PM2.5,Rahway,34-039-2003,AQS
09/11/2015,47,NO2,Elizabeth Lab,34-039-0004,AQS
09/12/2015,42,NO2,Fort Lee Near Road,34-003-0010,AQS
09/13/2015,48,PM2.5,Fort Lee Near Road,34-003-0010,AQS
09/14/2015,37,Ozone,Colliers Mills,34-029-0006,AQS
09/15/2015,74,Ozone,Colliers Mills,34-029-0006,AQS
09/16/2015,112,Ozone,Bayonne,34-017-0006,AQS
09/17/2015,166,Ozone,Bayonne,34-017-0006,AQS
09/18/2015,147,Ozone,Ramapo,34-031-5001,AQS
09/19/2015,58,Ozone,Flemington,34-019-0001,AQS
09/20/2015,39,PM2.5,Fort Lee Near Road,34-003-0010,AQS
09/21/2015,36,Ozone,Ramapo,34-031-5001,AQS
09/22/2015,34,PM2.5,Rahway,34-039-2003,AQS
09/23/2015,47,NO2,Elizabeth Lab,34-039-0004,AQS
09/24/2015,50,Ozone,Chester,34-027-3001,AQS
09/25/2015,47,PM2.5,Fort Lee Near Road,34-003-0010,AQS
09/26/2015,36,Ozone,Chester,34-027-3001,AQS
09/27/2015,37,PM2.5,Union City,34-017-2002,AQS
09/28/2015,39,PM2.5,Elizabeth Lab,34-039-0004,AQS
09/29/2015,52,PM2.5,Elizabeth Lab,34-039-0004,AQS
09/30/2015,38,PM2.5,Fort Lee Near Road,34-003-0010,AQS
10/01/2015,26,PM2.5,Rahway,34-039-2003,AQS
10/02/2015,25,NO2,Elizabeth Lab,34-039-0004,AQS
10/03/2015,24,PM2.5,Ps 19,36-061-0128,AQS
10/04/2015,31,Ozone,Ramapo,34-031-5001,AQS
10/05/2015,38,NO2,Elizabeth Lab,34-039-0004,AQS
10/06/2015,37,NO2,Queens College 2,36-081-0124,AQS
10/07/2015,33,PM2.5,Rahway,34-039-2003,AQS
10/08/2015,56,NO2,Fort Lee Near Road,34-003-0010,AQS
10/09/2015,43,PM2.5,Union City,34-017-2002,AQS
10/10/2015,42,PM2.5,Fort Lee Near Road,34-003-0010,AQS
10/11/2015,43,PM2.5,Rahway,34-039-2003,AQS
10/12/2015,54,PM2.5,Union City,34-017-2002,AQS
10/13/2015,46,PM2.5,Fort Lee Near Road,34-003-0010,AQS
10/14/2015,32,PM2.5,Fort Lee Near Road,34-003-0010,AQS
10/15/2015,41,NO2,Fort Lee Near Road,34-003-0010,AQS
10/16/2015,43,NO2,Fort Lee Near Road,34-003-0010,AQS
10/17/2015,28,Ozone,Colliers Mills,34-029-0006,AQS
10/18/2015,30,Ozone,Colliers Mills,34-029-0006,AQS
10/19/2015,63,NO2,Fort Lee Near Road,34-003-0010,AQS
10/20/2015,44,PM2.5,Intermediate School 143,36-061-0115,AQS
10/21/2015,62,PM2.5,Fort Lee Near Road,34-003-0010,AQS
10/22/2015,66,PM2.5,Fort Lee Near Road,34-003-0010,AQS
10/23/2015,38,Ozone,Colliers Mills,34-029-0006,AQS
10/24/2015,29,Ozone,Colliers Mills,34-029-0006,AQS
10/25/2015,28,Ozone,Colliers Mills,34-029-0006,AQS
10/26/2015,51,PM2.5,Ps 314,36-047-0052,AQS
10/27/2015,40,PM2.5,Fort Lee Near Road,34-003-0010,AQS
10/28/2015,33,NO2,Elizabeth Lab,34-039-0004,AQS
10/29/2015,35,PM2.5,Fort Lee Near Road,34-003-0010,AQS
10/30/2015,63,NO2,Fort Lee Near Road,34-003-0010,AQS
10/31/2015,39,PM2.5,Rahway,34-039-2003,AQS
11/01/2015,51,PM2.5,Rahway,34-039-2003,AQS
11/02/2015,62,NO2,Fort Lee Near Road,34-003-0010,AQS
11/03/2015,67,NO2,Elizabeth Lab,34-039-0004,AQS
11/04/2015,65,PM2.5,Is 74,36-005-0112,AQS
11/05/2015,95,PM2.5,Union City,34-017-2002,AQS
11/06/2015,55,PM2.5,Fort Lee Near Road,34-003-0010,AQS
11/07/2015,44,PM2.5,Fort Lee Near Road,34-003-0010,AQS
11/08/2015,40,PM2.5,Rahway,34-039-2003,AQS
11/09/2015,74,NO2,Fort Lee Near Road,34-003-0010,AQS
11/10/2015,52,PM2.5,Elizabeth Lab,34-039-0004,AQS
11/11/2015,41,NO2,Elizabeth Lab,34-039-0004,AQS
11/12/2015,33,NO2,Elizabeth Lab,34-039-0004,AQS
11/13/2015,31,Ozone,Mt Ninham,36-079-0005,AQS
11/14/2015,31,Ozone,Flemington,34-019-0001,AQS
11/15/2015,37,NO2,Is 52,36-005-0110,AQS
11/16/2015,53,PM2.5,Fort Lee Near Road,34-003-0010,AQS
11/17/2015,51,PM2.5,Ps 19,36-061-0128,AQS
11/18/2015,42,NO2,Elizabeth Lab,34-039-0004,AQS
11/19/2015,31,Ozone,Rutgers University,34-023-0011,AQS
11/20/2015,34,Ozone,Rockland County,36-087-0005,AQS
11/21/2015,38,PM2.5,Rahway,34-039-2003,AQS
11/22/2015,33,PM2.5,Intermediate School 143,36-061-0115,AQS
11/23/2015,37,PM2.5,Rahway,34-039-2003,AQS
11/24/2015,52,PM2.5,Is 74,36-005-0112,AQS
11/25/2015,67,PM2.5,Elizabeth Lab,34-039-0004,AQS
11/26/2015,65,PM2.5,Rahway,34-039-2003,AQS
11/27/2015,61,NO2,Bayonne,34-017-0006,AQS
11/28/2015,40,PM2.5,Division Street,36-061-0134,AQS
11/29/2015,41,PM2.5,Is 45,36-061-0079,AQS
11/30/2015,62,PM2.5,Ps 19,36-061-0128,AQS
12/01/2015,41,NO2,Elizabeth Lab,34-039-0004,AQS
12/02/2015,62,PM2.5,Elizabeth Lab,34-039-0004,AQS
12/03/2015,39,PM2.5,Is 74,36-005-0112,AQS
12/04/2015,44,PM2.5,Ps 19,36-061-0128,AQS
12/05/2015,59,PM2.5,Is 52,36-005-0110,AQS
12/06/2015,79,PM2.5,Jersey City Firehouse,34-017-1003,AQS
12/07/2015,89,PM2.5,Fort Lee Near Road,34-003-0010,AQS
12/08/2015,60,PM2.5,Ps 19,36-061-0128,AQS
12/09/2015,87,PM2.5,Fort Lee Near Road,34-003-0010,AQS
12/10/2015,68,PM2.5,Queens College 2,36-081-0124,AQS
12/11/2015,85,PM2.5,Union City,34-017-2002,AQS
12/12/2015,96,PM2.5,Fort Lee Near Road,34-003-0010,AQS
12/13/2015,91,PM2.5,Fort Lee Near Road,34-003-0010,AQS
12/14/2015,61,PM2.5,Newark Firehouse,34-013-0003,AQS
12/15/2015,34,Ozone,Rockland County,36-087-0005,AQS
12/16/2015,36,PM2.5,Fort Lee Near Road,34-003-0010,AQS
12/17/2015,38,PM2.5,Division Street,36-061-0134,AQS
12/18/2015,42,PM2.5,Fort Lee Near Road,34-003-0010,AQS
12/19/2015,38,PM2.5,Intermediate School 143,36-061-0115,AQS
12/20/2015,45,PM2.5,Holtsville,36-103-0009,AQS
12/21/2015,48,PM2.5,Intermediate School 143,36-061-0115,AQS
12/22/2015,55,PM2.5,Intermediate School 143,36-061-0115,AQS
12/23/2015,64,PM2.5,Fort Lee Near Road,34-003-0010,AQS
12/24/2015,52,PM2.5,Intermediate School 143,36-061-0115,AQS
12/25/2015,62,PM2.5,Is 74,36-005-0112,AQS
