date, pm25, pm10, o3, no2, so2, co
2016/2/3, 81, 54, 15, 46, 12, 10
2016/2/4, 128, 43, 23, 45, 8, 9
2016/2/5, 107, 49, 40, 43, 6, 5
2016/2/6, 106, 36, 37, 43, 8, 4
2016/2/7, 72, 39, 37, 40, 7, 4
2016/2/8, 82, 44, 40, 41, 8, 4
2016/2/9, 87, 35, 37, 26, 8, 4
2016/2/10, 68, 72, 26, 38, 7, 7
2016/2/11, 106, 37, 15, 33, 6, 7
2016/2/12, 93, 25, 16, 25, 6, 5
2016/2/13, 66, 30, 19, 38, 8, 9
2016/2/14, 77, 24, 19, 38, 7, 7
2016/2/15, 68, 37, 14, 40, 8, 7
2016/2/16, 90, 44, 20, 36, 8, 6
2016/2/17, 96, 27, 19, 36, 6, 7
2016/2/18, 77, 33, 27, 40, 7, 7
2016/2/19, 84, 40, 31, 47, 8, 7
2016/2/20, 101, 75, 37, 23, 8, 6
2016/2/21, 131, 88, 33, 37, 7, 7
2016/2/22, 132, 42, 4, 39, 7, 11
2016/2/23, 91, 18, 10, 35, 6, 8
2016/2/24, 51, 28, 11, 34, 6, 7
2016/2/25, 71, 55, 12, 37, 7, 8
2016/2/26, 114, 59, 10, 44, 10, 10
2016/2/27, 142, 30, 27, 46, 8, 8
2016/2/28, 80, 49, 38, 52, 9, 8
2016/2/29, 101, 77, 45, 33, 7, 7
2016/3/1, 152, 57, 47, 36, 7, 6
2016/3/2, 114, 46, 29, 49, 7, 7
2016/3/3, 88, 45, 21, 47, 7, 7
2016/3/4, 91, 42, 22, 42, 9, 8
2016/3/5, 89, 45, 5, 54, 21, 10
2016/3/6, 104, 45, 13, 43, 11, 8
2016/3/7, 107, 36, 23, 34, 6, 7
2016/3/8, 90, 32, 9, 32, 4, 8
2016/3/9, 89, 10, 24, 31, 4, 7
2016/3/10, 30, 23, 12, 35, 5, 6
2016/3/11, 60, 37, 18, 25, 3, 5
2016/3/12, 93, 29, 18, 28, 4, 8
2016/3/13, 82, 26, 11, 35, 4, 7
2016/3/14, 64, 47, 35, 32, 3, 5
2016/3/15, 104, 42, 32, 31, 2, 6
2016/3/16, 104, 25, 21, 32, 3, 7
2016/3/17, 72, 53, 12, 42, 6, 9
2016/3/18, 130, 43, 5, 38, 7, 10
2016/3/19, 112, 48, 40, 24, 4, 6
2016/3/20, 115, 33, 34, 33, 3, 6
2016/3/21, 83, 28, 35, 32, 3, 6
2016/3/22, 74, 39, 25, 42, 4, 9
2016/3/23, 98, 17, 24, 33, 2, 6
2016/3/24, 49, 40, 39, 44, 4, 6
2016/3/25, 93, 47, 35, 43, 6, 6
2016/3/26, 101, 44, 48, 51, 7, 6
2016/3/27, 93, 53, 60, 34, 6, 5
2016/3/28, 119, 49, 44, 50, 5, 6
2016/3/29, 98, 64, 46, 55, 5, 8
2016/3/30, 124, 78, 8, 80, 20, 12
2016/3/31, 160, 58, 8, 59, 18, 10
2015/10/1, 99, 36, 33, 41, 4, 7
2015/10/2, 89, 31, 30, 22, 3, 6
2015/10/3, 76, 20, 19, 17, 3, 5
2015/10/4, 47, 21, 11, 24, 4, 5
2015/10/5, 51, 24, 14, 33, 3, 6
2015/10/6, 58, 23, 13, 34, 5, 7
2015/10/7, 60, 38, 62, 60, 12, 9
2015/10/8, 90, 32, 47, 59, 5, 9
2015/10/9, 78, 31, 19, 41, 4, 7
2015/10/10, 77, 25, 28, 47, 3, 5
2015/10/11, 64, 34, 30, 45, 6, 5
2015/10/12, 74, 54, 69, 50, 7, 5
2015/10/13, 115, 64, 86, 53, 8, 6
2015/10/14, 142, 58, 67, 62, 7, 6
2015/10/15, 128, 63, 73, 80, 11, 7
2015/10/16, 148, 55, 60, 68, 7, 6
2015/10/17, 124, 54, 71, 52, 8, 5
2015/10/18, 115, 58, 59, 76, 8, 6
2015/10/19, 135, 54, 52, 77, 8, 6
2015/10/20, 121, 44, 37, 49, 8, 5
2015/10/21, 96, 35, 42, 53, 8, 5
2015/10/22, 78, 48, 44, 61, 9, 5
2015/10/23, 97, 44, 41, 44, 5, 5
2015/10/24, 94, 36, 33, 24, 5, 3
2015/10/25, 75, 39, 31, 33, 5, 4
2015/10/26, 80, 42, 29, 54, 12, 6
2015/10/27, 87, 46, 27, 47, 8, 6
