date,hour,type,东城东四,东城天坛,西城官园,西城万寿西宫,朝阳奥体中心,朝阳农展馆,海淀万柳,海淀四季青,丰台小屯,丰台云岗,石景山古城,石景山老山,昌平镇,昌平南邵,定陵(对照点),延庆夏都,延庆石河营,怀柔镇,怀柔新城,密云镇,密云新城,平谷镇,平谷新城,顺义新城,顺义北小营,通州永顺,通州东关,大兴黄村,大兴旧宫,亦庄开发区,京东南区域点,门头沟双峪,门头沟三家店,房山良乡,房山燕山
20210127,13,SO2,13,10,16,15,15,10,16,11,14,12,13,14,10,8,11,5,7,2,2,3,5,11,7,3,2,10,12,9,10,12,,8,8,10,7
20210127,13,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210127,13,NO2,35,43,37,41,32,,37,29,34,,31,33,34,25,28,26,30,20,16,20,15,24,25,15,11,38,35,50,47,46,55,16,24,45,28
20210127,13,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210127,13,O3,34,,35,34,40,33,41,38,40,42,40,43,43,42,47,44,45,44,46,40,52,48,8,52,50,27,23,26,22,22,,55,66,42,52
20210127,13,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210127,13,CO,1.2,,1.3,1.4,1.1,1,1.3,1.1,1.2,1,1.1,1.3,1.1,1,1,0.5,0.8,0.5,0.5,0.6,0.5,1.3,1.1,0.5,0.5,1.2,1.3,1.6,1.5,1.3,2.1,0.7,0.7,0.7,0.9
20210127,13,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210127,14,SO2,10,9,16,14,13,10,19,15,15,13,13,14,8,9,11,6,7,14,11,4,7,14,13,11,9,12,12,10,11,13,13,10,9,11,9
20210127,14,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210127,14,NO2,36,45,39,42,37,37,40,30,35,35,30,34,28,21,25,23,30,25,22,20,17,27,27,24,17,38,35,53,50,48,56,27,27,44,31
20210127,14,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210127,14,O3,35,35,38,36,37,35,43,41,43,50,42,45,50,50,52,49,48,53,52,45,57,51,39,53,51,31,26,27,24,24,22,48,63,47,54
20210127,14,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210127,14,CO,1.1,1.3,1.3,1.3,1.1,1,1.4,1.3,1.2,1,1.1,1.3,0.9,1,1,0.5,0.8,1,1,0.6,0.6,1.4,1.2,0.9,1,1.3,1.4,1.6,1.6,1.4,2.2,0.9,0.8,0.7,1
20210127,14,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210127,15,SO2,10,8,12,10,,12,16,15,16,13,15,16,9,11,10,7,8,,15,6,9,12,15,12,9,13,14,8,11,13,15,12,9,11,10
20210127,15,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210127,15,NO2,40,50,41,44,42,43,43,33,41,38,32,37,31,24,28,24,29,35,30,25,25,29,29,30,21,41,38,58,54,50,61,33,31,49,35
20210127,15,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210127,15,O3,33,34,37,36,37,36,40,39,41,49,43,44,50,50,49,52,51,51,54,45,54,49,44,51,50,31,28,26,25,26,23,45,59,47,55
20210127,15,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210127,15,CO,1.2,1.2,1.1,1.1,1.1,1.1,1.3,1.4,1.3,1,1.2,1.4,1,1,0.9,0.6,0.8,,1.3,0.8,0.8,1.3,1.3,1,1.1,1.4,1.5,1.5,1.8,1.4,2.1,1,0.8,0.8,1
20210127,15,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210127,16,SO2,10,9,11,9,10,12,13,12,13,15,15,14,10,10,10,9,10,17,15,8,10,13,17,12,9,15,20,5,10,13,16,13,10,9,10
20210127,16,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210127,16,NO2,44,56,46,50,,50,45,36,43,46,38,39,33,24,28,26,31,,32,28,26,33,34,36,26,46,42,64,54,52,66,39,39,56,43
20210127,16,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210127,16,O3,30,30,35,40,,32,37,36,39,44,38,43,47,49,50,54,53,53,56,43,55,49,42,47,47,33,34,23,24,23,24,41,52,41,50
20210127,16,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210127,16,CO,1.3,1.4,1.1,1.2,,1.3,1.2,1.2,1.2,1.1,1.3,1.3,1,1,0.9,0.6,0.8,1.1,1.3,0.9,0.9,1.3,1.3,1.1,1.1,1.7,1.9,1.6,1.7,1.4,2.1,1.2,0.9,0.9,1
20210127,16,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210127,17,SO2,9,7,9,9,9,11,12,9,10,12,13,12,10,9,12,18,17,17,13,6,8,13,18,14,10,13,19,3,6,11,13,13,10,6,10
20210127,17,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210127,17,NO2,50,63,49,53,54,56,48,39,48,51,40,41,43,28,32,30,34,40,31,40,23,42,45,42,32,51,49,71,58,58,73,46,45,64,49
20210127,17,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210127,17,O3,30,23,34,37,30,25,33,31,34,36,35,39,34,42,45,53,53,51,52,29,53,35,29,41,42,27,26,18,17,18,17,34,43,32,43
20210127,17,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210127,17,CO,1.4,1.6,1.2,1.3,1.2,1.4,1.2,1.2,1.1,1.1,1.2,1.3,1.1,1,1.1,0.8,1,1.3,1.3,0.9,0.8,1.5,1.5,1.2,1.2,1.7,1.9,1.7,1.6,1.4,2.1,1.2,1,0.8,1.1
20210127,17,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210127,18,SO2,9,4,10,8,10,10,12,10,10,11,11,11,9,8,9,12,11,14,9,5,7,13,15,12,9,10,15,3,5,9,11,10,9,3,9
20210127,18,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210127,18,NO2,58,64,55,59,51,62,58,48,53,53,48,51,49,34,30,29,29,48,34,41,24,50,49,53,40,54,51,81,65,69,82,42,48,78,51
20210127,18,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
