"Date","Nitrogen Dioxide AQI Value","Main Pollutant","Site Name","Site ID","Source"
"07/07/2011","15","","Dr. Von Mizell-Eula Johnson State Park (prev. John U Lloyd State Park)","12-011-8002","AQS"
"07/08/2011","13","","Dr. Von Mizell-Eula Johnson State Park (prev. John U Lloyd State Park)","12-011-8002","AQS"
"07/09/2011","11","","Dr. Von Mizell-Eula Johnson State Park (prev. John U Lloyd State Park)","12-011-8002","AQS"
"07/10/2011","9","","AG Holley","12-099-0020","AQS"
"07/11/2011","13","","Dr. Von Mizell-Eula Johnson State Park (prev. John U Lloyd State Park)","12-011-8002","AQS"
"07/12/2011","17","","Dr. Von Mizell-Eula Johnson State Park (prev. John U Lloyd State Park)","12-011-8002","AQS"
"07/13/2011","28","","Dr. Von Mizell-Eula Johnson State Park (prev. John U Lloyd State Park)","12-011-8002","AQS"
"07/14/2011","20","","Dr. Von Mizell-Eula Johnson State Park (prev. John U Lloyd State Park)","12-011-8002","AQS"
"07/15/2011","16","","Lab Annex","12-086-4002","AQS"
"07/16/2011","23","","Lab Annex","12-086-4002","AQS"
"07/17/2011","19","","Dr. Von Mizell-Eula Johnson State Park (prev. John U Lloyd State Park)","12-011-8002","AQS"
"07/18/2011","27","","Rosenstiel","12-086-0027","AQS"
"07/19/2011","30","","Dr. Von Mizell-Eula Johnson State Park (prev. John U Lloyd State Park)","12-011-8002","AQS"
"07/20/2011","30","","Lab Annex","12-086-4002","AQS"
"07/21/2011","25","","Dr. Von Mizell-Eula Johnson State Park (prev. John U Lloyd State Park)","12-011-8002","AQS"
"07/22/2011","16","","AG Holley","12-099-0020","AQS"
"07/23/2011","19","","Lab Annex","12-086-4002","AQS"
"07/24/2011","11","","Lab Annex","12-086-4002","AQS"
"07/25/2011","12","","Lab Annex","12-086-4002","AQS"
"07/26/2011","14","","AG Holley","12-099-0020","AQS"
"07/27/2011","8","","Lab Annex","12-086-4002","AQS"
"07/28/2011","8","","Lab Annex","12-086-4002","AQS"
"07/29/2011","9","","SAWGRASS SPRINGS MIDDLE SCHOOL","12-011-0031","AQS"
"07/30/2011","5","","SAWGRASS SPRINGS MIDDLE SCHOOL","12-011-0031","AQS"
"07/31/2011","5","","SAWGRASS SPRINGS MIDDLE SCHOOL","12-011-0031","AQS"
"08/01/2011","20","","Lab Annex","12-086-4002","AQS"
"08/02/2011","19","","Dr. Von Mizell-Eula Johnson State Park (prev. John U Lloyd State Park)","12-011-8002","AQS"
"08/03/2011","24","","Dr. Von Mizell-Eula Johnson State Park (prev. John U Lloyd State Park)","12-011-8002","AQS"
"08/04/2011","21","","Dr. Von Mizell-Eula Johnson State Park (prev. John U Lloyd State Park)","12-011-8002","AQS"
"08/05/2011","11","","SAWGRASS SPRINGS MIDDLE SCHOOL","12-011-0031","AQS"
"08/06/2011","22","","Dr. Von Mizell-Eula Johnson State Park (prev. John U Lloyd State Park)","12-011-8002","AQS"
"08/07/2011","24","","Dr. Von Mizell-Eula Johnson State Park (prev. John U Lloyd State Park)","12-011-8002","AQS"
"08/08/2011","23","","Dr. Von Mizell-Eula Johnson State Park (prev. John U Lloyd State Park)","12-011-8002","AQS"
"08/09/2011","25","","Dr. Von Mizell-Eula Johnson State Park (prev. John U Lloyd State Park)","12-011-8002","AQS"
"08/10/2011","20","","Dr. Von Mizell-Eula Johnson State Park (prev. John U Lloyd State Park)","12-011-8002","AQS"
"08/11/2011","35","","Dr. Von Mizell-Eula Johnson State Park (prev. John U Lloyd State Park)","12-011-8002","AQS"
"08/12/2011","35","","Lab Annex","12-086-4002","AQS"
"08/13/2011","28","","Dr. Von Mizell-Eula Johnson State Park (prev. John U Lloyd State Park)","12-011-8002","AQS"
"08/14/2011","27","","Dr. Von Mizell-Eula Johnson State Park (prev. John U Lloyd State Park)","12-011-8002","AQS"
"08/15/2011","26","","Lab Annex","12-086-4002","AQS"
"08/16/2011","28","","Lab Annex","12-086-4002","AQS"
"08/17/2011","22","","Dr. Von Mizell-Eula Johnson State Park (prev. John U Lloyd State Park)","12-011-8002","AQS"
"08/18/2011","10","","Lab Annex","12-086-4002","AQS"
"08/19/2011","21","","Dr. Von Mizell-Eula Johnson State Park (prev. John U Lloyd State Park)","12-011-8002","AQS"
"08/20/2011","15","","Lab Annex","12-086-4002","AQS"
"08/21/2011","11","","Lab Annex","12-086-4002","AQS"
"08/22/2011","14","","SAWGRASS SPRINGS MIDDLE SCHOOL","12-011-0031","AQS"
"08/23/2011","13","","Lab Annex","12-086-4002","AQS"
"08/24/2011","17","","Lab Annex","12-086-4002","AQS"
"08/25/2011","17","","Dr. Von Mizell-Eula Johnson State Park (prev. John U Lloyd State Park)","12-011-8002","AQS"
"08/26/2011","17","","Lab Annex","12-086-4002","AQS"
"08/27/2011","15","","Dr. Von Mizell-Eula Johnson State Park (prev. John U Lloyd State Park)","12-011-8002","AQS"
"08/28/2011","9","","Dr. Von Mizell-Eula Johnson State Park (prev. John U Lloyd State Park)","12-011-8002","AQS"
"08/29/2011","19","","Lab Annex","12-086-4002","AQS"
"08/30/2011","27","","Lab Annex","12-086-4002","AQS"
"08/31/2011","20","","AG Holley","12-099-0020","AQS"
"09/01/2011","19","","Lab Annex","12-086-4002","AQS"
"09/02/2011","18","","Rosenstiel","12-086-0027","AQS"
"09/03/2011","19","","Lab Annex","12-086-4002","AQS"
"09/04/2011","17","","Lab Annex","12-086-4002","AQS"
"09/05/2011","15","","Dr. Von Mizell-Eula Johnson State Park (prev. John U Lloyd State Park)","12-011-8002","AQS"
"09/06/2011","18","","AG Holley","12-099-0020","AQS"
"09/07/2011","25","","AG Holley","12-099-0020","AQS"
"09/08/2011","23","","Dr. Von Mizell-Eula Johnson State Park (prev. John U Lloyd State Park)","12-011-8002","AQS"
"09/09/2011","32","","Dr. Von Mizell-Eula Johnson State Park (prev. John U Lloyd State Park)","12-011-8002","AQS"
"09/10/2011","21","","Dr. Von Mizell-Eula Johnson State Park (prev. John U Lloyd State Park)","12-011-8002","AQS"
"09/11/2011","17","","Lab Annex","12-086-4002","AQS"
"09/12/2011","23","","Dr. Von Mizell-Eula Johnson State Park (prev. John U Lloyd State Park)","12-011-8002","AQS"
"09/13/2011","15","","Dr. Von Mizell-Eula Johnson State Park (prev. John U Lloyd State Park)","12-011-8002","AQS"
"09/14/2011","23","","Lab Annex","12-086-4002","AQS"
"09/15/2011","24","","Rosenstiel","12-086-0027","AQS"
"09/16/2011","30","","Lab Annex","12-086-4002","AQS"
"09/17/2011","17","","Lab Annex","12-086-4002","AQS"
"09/18/2011","6","","SAWGRASS SPRINGS MIDDLE SCHOOL","12-011-0031","AQS"
"09/19/2011","20","","Lab Annex","12-086-4002","AQS"
"09/20/2011","8","","Lab Annex","12-086-4002","AQS"
"09/21/2011","8","","Lab Annex","12-086-4002","AQS"
"09/22/2011","11","","Lab Annex","12-086-4002","AQS"
"09/23/2011","25","","Lab Annex","12-086-4002","AQS"
"09/24/2011","23","","Dr. Von Mizell-Eula Johnson State Park (prev. John U Lloyd State Park)","12-011-8002","AQS"
"09/25/2011","18","","Lab Annex","12-086-4002","AQS"
"09/26/2011","22","","Dr. Von Mizell-Eula Johnson State Park (prev. John U Lloyd State Park)","12-011-8002","AQS"
"09/27/2011","13","","Lab Annex","12-086-4002","AQS"
"09/28/2011","18","","Lab Annex","12-086-4002","AQS"
"09/29/2011","17","","Lab Annex","12-086-4002","AQS"
"09/30/2011","27","","Lab Annex","12-086-4002","AQS"
"10/01/2011","25","","Lab Annex","12-086-4002","AQS"
"10/02/2011","21","","Rosenstiel","12-086-0027","AQS"
"10/03/2011","24","","SAWGRASS SPRINGS MIDDLE SCHOOL","12-011-0031","AQS"
"10/04/2011","20","","SAWGRASS SPRINGS MIDDLE SCHOOL","12-011-0031","AQS"
"10/05/2011","17","","Lab Annex","12-086-4002","AQS"
"10/06/2011","18","","Lab Annex","12-086-4002","AQS"
"10/07/2011","12","","Lab Annex","12-086-4002","AQS"
"10/08/2011","5","","Lab Annex","12-086-4002","AQS"
"10/09/2011","19","","Lab Annex","12-086-4002","AQS"
"10/10/2011","22","","Dr. Von Mizell-Eula Johnson State Park (prev. John U Lloyd State Park)","12-011-8002","AQS"
"10/11/2011","25","","Dr. Von Mizell-Eula Johnson State Park (prev. John U Lloyd State Park)","12-011-8002","AQS"
"10/12/2011","21","","Dr. Von Mizell-Eula Johnson State Park (prev. John U Lloyd State Park)","12-011-8002","AQS"
"10/13/2011","24","","Dr. Von Mizell-Eula Johnson State Park (prev. John U Lloyd State Park)","12-011-8002","AQS"
"10/14/2011","20","","Dr. Von Mizell-Eula Johnson State Park (prev. John U Lloyd State Park)","12-011-8002","AQS"
"10/15/2011","10","","SAWGRASS SPRINGS MIDDLE SCHOOL","12-011-0031","AQS"
"10/16/2011","6","","Lab Annex","12-086-4002","AQS"
"10/17/2011","20","","Lab Annex","12-086-4002","AQS"
"10/18/2011","17","","SAWGRASS SPRINGS MIDDLE SCHOOL","12-011-0031","AQS"
"10/19/2011","21","","Dr. Von Mizell-Eula Johnson State Park (prev. John U Lloyd State Park)","12-011-8002","AQS"
"10/20/2011","33","","Lab Annex","12-086-4002","AQS"
"10/21/2011","25","","Rosenstiel","12-086-0027","AQS"
"10/22/2011","17","","Lab Annex","12-086-4002","AQS"
"10/23/2011","16","","Dr. Von Mizell-Eula Johnson State Park (prev. John U Lloyd State Park)","12-011-8002","AQS"
"10/24/2011","26","","Rosenstiel","12-086-0027","AQS"
"10/25/2011","36","","AG Holley","12-099-0020","AQS"
"10/26/2011","32","","SAWGRASS SPRINGS MIDDLE SCHOOL","12-011-0031","AQS"
"10/27/2011","24","","SAWGRASS SPRINGS MIDDLE SCHOOL","12-011-0031","AQS"
"10/28/2011","15","","Lab Annex","12-086-4002","AQS"
"10/29/2011","13","","Dr. Von Mizell-Eula Johnson State Park (prev. John U Lloyd State Park)","12-011-8002","AQS"
"10/30/2011","19","","Rosenstiel","12-086-0027","AQS"
"10/31/2011","24","","Lab Annex","12-086-4002","AQS"
