Date,Nitrogen Dioxide AQI Value,Site Name,Site ID,Source
09/11/2018,37,Long Beach-route 710 Near Road,06-037-4008,AQS
09/12/2018,33,Pomona,06-037-1701,AQS
09/13/2018,50,Long Beach-route 710 Near Road,06-037-4008,AQS
09/14/2018,51,Long Beach-route 710 Near Road,06-037-4008,AQS
09/15/2018,35,Pomona,06-037-1701,AQS
09/16/2018,30,Los Angeles-north Main Street,06-037-1103,AQS
09/17/2018,47,Long Beach-route 710 Near Road,06-037-4008,AQS
09/18/2018,46,Pomona,06-037-1701,AQS
09/19/2018,41,Long Beach-route 710 Near Road,06-037-4008,AQS
09/20/2018,44,Lancaster-division Street,06-037-9033,AQS
09/21/2018,38,Lancaster-division Street,06-037-9033,AQS
09/22/2018,31,Pomona,06-037-1701,AQS
09/23/2018,26,Pomona,06-037-1701,AQS
09/24/2018,30,Lancaster-division Street,06-037-9033,AQS
09/25/2018,36,Long Beach-route 710 Near Road,06-037-4008,AQS
09/26/2018,40,Pomona,06-037-1701,AQS
09/27/2018,43,Long Beach-route 710 Near Road,06-037-4008,AQS
09/28/2018,33,Lancaster-division Street,06-037-9033,AQS
09/29/2018,22,Pico Rivera #2,06-037-1602,AQS
09/30/2018,31,Pico Rivera #2,06-037-1602,AQS
10/01/2018,62,Long Beach-route 710 Near Road,06-037-4008,AQS
10/02/2018,33,Long Beach-route 710 Near Road,06-037-4008,AQS
10/03/2018,23,Pomona,06-037-1701,AQS
10/04/2018,28,Long Beach-route 710 Near Road,06-037-4008,AQS
10/05/2018,28,Pomona,06-037-1701,AQS
10/06/2018,25,Pomona,06-037-1701,AQS
10/07/2018,25,Lax Hastings,06-037-5005,AQS
10/08/2018,31,Long Beach-route 710 Near Road,06-037-4008,AQS
10/09/2018,34,Long Beach-route 710 Near Road,06-037-4008,AQS
10/10/2018,37,Long Beach-route 710 Near Road,06-037-4008,AQS
10/11/2018,45,Long Beach-route 710 Near Road,06-037-4008,AQS
10/12/2018,42,Long Beach-route 710 Near Road,06-037-4008,AQS
10/13/2018,27,Long Beach-route 710 Near Road,06-037-4008,AQS
10/14/2018,22,Pomona,06-037-1701,AQS
10/15/2018,57,Long Beach (hudson),06-037-4006,AQS
10/16/2018,58,Long Beach-route 710 Near Road,06-037-4008,AQS
10/17/2018,60,Long Beach-route 710 Near Road,06-037-4008,AQS
10/18/2018,66,Long Beach-route 710 Near Road,06-037-4008,AQS
10/19/2018,69,Long Beach-route 710 Near Road,06-037-4008,AQS
10/20/2018,57,Long Beach-route 710 Near Road,06-037-4008,AQS
10/21/2018,40,Lax Hastings,06-037-5005,AQS
10/22/2018,42,Long Beach-route 710 Near Road,06-037-4008,AQS
10/23/2018,42,Long Beach-route 710 Near Road,06-037-4008,AQS
10/24/2018,44,Lax Hastings,06-037-5005,AQS
10/25/2018,43,Azusa,06-037-0002,AQS
10/26/2018,79,Long Beach-route 710 Near Road,06-037-4008,AQS
10/27/2018,55,Long Beach-route 710 Near Road,06-037-4008,AQS
10/28/2018,38,Lax Hastings,06-037-5005,AQS
10/29/2018,52,Pomona,06-037-1701,AQS
10/30/2018,48,Long Beach-route 710 Near Road,06-037-4008,AQS
10/31/2018,60,Long Beach-route 710 Near Road,06-037-4008,AQS
11/01/2018,52,Anaheim,06-059-0007,AQS
11/02/2018,55,Long Beach (hudson),06-037-4006,AQS
11/03/2018,49,Los Angeles-north Main Street,06-037-1103,AQS
11/04/2018,46,Reseda,06-037-1201,AQS
11/05/2018,45,Pomona,06-037-1701,AQS
11/06/2018,35,Lancaster-division Street,06-037-9033,AQS
11/07/2018,34,Long Beach (hudson),06-037-4006,AQS
11/08/2018,68,Long Beach-route 710 Near Road,06-037-4008,AQS
11/09/2018,73,Long Beach-route 710 Near Road,06-037-4008,AQS
11/10/2018,48,Long Beach-route 710 Near Road,06-037-4008,AQS
11/11/2018,52,Pomona,06-037-1701,AQS
11/12/2018,66,Long Beach-route 710 Near Road,06-037-4008,AQS
11/13/2018,73,Long Beach-route 710 Near Road,06-037-4008,AQS
11/14/2018,66,Long Beach-route 710 Near Road,06-037-4008,AQS
11/15/2018,68,Long Beach-route 710 Near Road,06-037-4008,AQS
11/16/2018,62,Long Beach-route 710 Near Road,06-037-4008,AQS
11/17/2018,41,Reseda,06-037-1201,AQS
11/18/2018,48,Pomona,06-037-1701,AQS
11/19/2018,78,Long Beach-route 710 Near Road,06-037-4008,AQS
11/20/2018,65,Long Beach-route 710 Near Road,06-037-4008,AQS
11/21/2018,55,Long Beach-route 710 Near Road,06-037-4008,AQS
11/22/2018,23,Long Beach-route 710 Near Road,06-037-4008,AQS
11/23/2018,31,Long Beach-route 710 Near Road,06-037-4008,AQS
11/24/2018,30,Long Beach-route 710 Near Road,06-037-4008,AQS
11/25/2018,35,Long Beach-route 710 Near Road,06-037-4008,AQS
11/26/2018,57,Long Beach-route 710 Near Road,06-037-4008,AQS
11/27/2018,62,Long Beach-route 710 Near Road,06-037-4008,AQS
11/28/2018,40,Pico Rivera #2,06-037-1602,AQS
11/29/2018,37,Long Beach-route 710 Near Road,06-037-4008,AQS
11/30/2018,41,Long Beach-route 710 Near Road,06-037-4008,AQS
12/01/2018,37,Long Beach-route 710 Near Road,06-037-4008,AQS
12/02/2018,34,Long Beach (hudson),06-037-4006,AQS
12/03/2018,52,Long Beach-route 710 Near Road,06-037-4008,AQS
12/04/2018,54,Long Beach-route 710 Near Road,06-037-4008,AQS
12/05/2018,58,Long Beach-route 710 Near Road,06-037-4008,AQS
12/06/2018,46,Long Beach-route 710 Near Road,06-037-4008,AQS
12/07/2018,42,Long Beach-route 710 Near Road,06-037-4008,AQS
12/08/2018,36,Anaheim Near-road,06-059-0008,AQS
12/09/2018,38,Anaheim Near-road,06-059-0008,AQS
12/10/2018,57,Long Beach-route 710 Near Road,06-037-4008,AQS
