Date,PM10 AQI Value,Site Name,Site ID,Source
01/22/2012,29,Long Beach (north),06-037-4002,AQS
01/23/2012,19,Long Beach (north),06-037-4002,AQS
01/24/2012,25,Long Beach (north),06-037-4002,AQS
01/25/2012,25,Long Beach (north),06-037-4002,AQS
01/26/2012,25,Long Beach (north),06-037-4002,AQS
01/27/2012,25,Long Beach (north),06-037-4002,AQS
01/28/2012,26,Long Beach (south),06-037-4004,AQS
01/29/2012,16,Long Beach (north),06-037-4002,AQS
01/30/2012,25,Burbank,06-037-1002,AQS
01/31/2012,29,Anaheim,06-059-0007,AQS
02/01/2012,43,Long Beach (north),06-037-4002,AQS
02/02/2012,38,Long Beach (north),06-037-4002,AQS
02/03/2012,33,Long Beach (north),06-037-4002,AQS
02/04/2012,17,Burbank,06-037-1002,AQS
02/05/2012,17,Long Beach (north),06-037-4002,AQS
02/06/2012,28,Anaheim,06-059-0007,AQS
02/07/2012,23,Anaheim,06-059-0007,AQS
02/08/2012,22,Long Beach (north),06-037-4002,AQS
02/09/2012,31,Long Beach (south),06-037-4004,AQS
02/10/2012,29,Anaheim,06-059-0007,AQS
02/11/2012,21,Glendora,06-037-0016,AQS
02/12/2012,15,Glendora,06-037-0016,AQS
02/13/2012,21,Long Beach (north),06-037-4002,AQS
02/14/2012,23,Long Beach (north),06-037-4002,AQS
02/15/2012,19,Burbank,06-037-1002,AQS
02/16/2012,19,Long Beach (north),06-037-4002,AQS
02/17/2012,20,Long Beach (north),06-037-4002,AQS
02/18/2012,22,Long Beach (north),06-037-4002,AQS
02/19/2012,23,Long Beach (north),06-037-4002,AQS
02/20/2012,29,Long Beach (north),06-037-4002,AQS
02/21/2012,32,Long Beach (north),06-037-4002,AQS
02/22/2012,27,Burbank,06-037-1002,AQS
02/23/2012,28,Long Beach (north),06-037-4002,AQS
02/24/2012,33,Glendora,06-037-0016,AQS
02/25/2012,44,Glendora,06-037-0016,AQS
02/26/2012,34,Glendora,06-037-0016,AQS
02/27/2012,20,Los Angeles-north Main Street,06-037-1103,AQS
02/28/2012,20,Burbank,06-037-1002,AQS
02/29/2012,19,Glendora,06-037-0016,AQS
03/01/2012,18,Glendora,06-037-0016,AQS
03/02/2012,39,Anaheim,06-059-0007,AQS
03/03/2012,29,Long Beach (north),06-037-4002,AQS
03/04/2012,23,Long Beach (south),06-037-4004,AQS
03/05/2012,26,Burbank,06-037-1002,AQS
03/06/2012,50,Lancaster-division Street,06-037-9033,AQS
03/07/2012,29,Anaheim,06-059-0007,AQS
03/08/2012,33,Long Beach (north),06-037-4002,AQS
03/09/2012,31,Long Beach (north),06-037-4002,AQS
03/10/2012,32,Long Beach (south),06-037-4004,AQS
03/11/2012,28,Glendora,06-037-0016,AQS
03/12/2012,30,Glendora,06-037-0016,AQS
03/13/2012,27,Glendora,06-037-0016,AQS
03/14/2012,23,Glendora,06-037-0016,AQS
03/15/2012,29,Glendora,06-037-0016,AQS
03/16/2012,28,Azusa,06-037-0002,AQS
03/17/2012,6,Glendora,06-037-0016,AQS
03/18/2012,11,Long Beach (north),06-037-4002,AQS
03/19/2012,16,Long Beach (north),06-037-4002,AQS
03/20/2012,24,Long Beach (north),06-037-4002,AQS
03/21/2012,26,Long Beach (north),06-037-4002,AQS
03/22/2012,39,Los Angeles-north Main Street,06-037-1103,AQS
03/23/2012,26,Glendora,06-037-0016,AQS
03/24/2012,19,Glendora,06-037-0016,AQS
03/25/2012,9,Long Beach (north),06-037-4002,AQS
03/26/2012,6,Glendora,06-037-0016,AQS
03/27/2012,17,Anaheim,06-059-0007,AQS
03/28/2012,58,Lancaster-division Street,06-037-9033,AQS
03/29/2012,51,Lancaster-division Street,06-037-9033,AQS
03/30/2012,51,Lancaster-division Street,06-037-9033,AQS
03/31/2012,27,Glendora,06-037-0016,AQS
04/01/2012,66,Lancaster-division Street,06-037-9033,AQS
04/02/2012,21,Anaheim,06-059-0007,AQS
04/03/2012,51,Los Angeles-north Main Street,06-037-1103,AQS
