date,hour,type,东城东四,东城天坛,西城官园,西城万寿西宫,朝阳奥体中心,朝阳农展馆,海淀万柳,海淀四季青,丰台小屯,丰台云岗,石景山古城,石景山老山,昌平镇,昌平南邵,定陵(对照点),延庆夏都,延庆石河营,怀柔镇,怀柔新城,密云镇,密云新城,平谷镇,平谷新城,顺义新城,顺义北小营,通州永顺,通州东关,大兴黄村,大兴旧宫,亦庄开发区,京东南区域点,门头沟双峪,门头沟三家店,房山良乡,房山燕山
20210202,17,CO,0.3,0.4,0.4,0.5,0.3,0.4,0.4,0.4,0.4,0.3,0.4,0.3,0.4,0.5,0.4,0.3,0.4,0.4,0.5,0.5,0.5,0.3,,0.4,0.5,0.4,0.3,0.6,0.3,0.4,0.2,0.4,0.5,0.4,0.3
20210202,17,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210202,18,SO2,2,3,3,2,3,2,3,2,2,2,1,2,4,2,4,3,4,2,4,5,4,3,2,3,2,1,2,2,2,3,3,2,4,3,6
20210202,18,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210202,18,NO2,23,23,28,29,29,20,36,27,34,19,17,24,12,14,1,2,7,41,29,24,23,24,22,35,26,25,19,29,23,21,25,31,22,31,19
20210202,18,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210202,18,O3,40,48,36,40,39,48,34,33,36,49,42,43,59,59,63,72,71,33,42,47,48,48,47,40,42,48,49,42,48,49,59,40,42,46,53
20210202,18,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210202,18,CO,0.4,0.4,0.4,0.5,0.3,0.4,0.5,0.4,0.4,0.3,0.4,0.3,0.4,0.5,0.4,0.3,0.4,0.5,0.6,0.5,0.5,0.3,0.4,0.5,0.5,0.4,0.3,0.6,0.3,0.4,0.3,0.4,0.5,0.3,0.4
20210202,18,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210202,19,SO2,2,2,3,2,3,3,3,2,2,1,1,2,3,1,3,3,5,3,3,6,5,1,1,3,1,1,2,2,2,3,2,3,7,3,7
20210202,19,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
