date,hour,type,东四,天坛,官园,万寿西宫,奥体中心,农展馆,万柳,北部新区,植物园,丰台花园,云岗,古城,房山,大兴,亦庄,通州,顺义,昌平,门头沟,平谷,怀柔,密云,延庆,定陵,八达岭,密云水库,东高村,永乐店,榆垡,琉璃河,前门,永定门内,西直门北,南三环,东四环
20200915,17,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200915,18,SO2,1,3,2,3,3,3,3,3,,3,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,,3,3,3,
20200915,18,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200915,18,NO2,17,21,21,17,14,12,24,11,,27,,15,23,20,15,18,10,7,21,9,14,6,13,,22,2,18,12,3,8,,25,31,35,31
20200915,18,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200915,18,O3,74,72,71,74,80,76,67,68,,87,76,83,106,80,60,78,81,42,74,76,71,75,69,39,66,80,60,60,66,96,,70,57,64,58
20200915,18,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200915,18,CO,0.7,0.7,0.6,0.5,0.5,0.5,0.6,0.7,,0.5,0.5,0.5,0.3,0.7,0.6,0.4,0.5,0.4,0.5,0.8,0.5,0.5,0.5,0.4,0.4,0.4,0.6,0.8,0.5,0.6,,0.5,0.5,0.7,0.5
20200915,18,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200915,19,SO2,1,3,1,3,3,3,3,3,,3,,3,3,3,3,3,3,3,,3,3,3,3,3,3,3,3,1,3,,,3,3,3,
20200915,19,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200915,19,NO2,19,24,23,22,17,18,32,27,,27,18,26,38,30,29,24,10,12,18,11,17,12,11,10,60,2,33,21,6,9,,28,35,42,26
20200915,19,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200915,19,O3,65,52,58,61,68,64,51,31,,90,67,58,84,68,51,65,76,43,54,71,58,66,68,42,26,71,39,33,52,58,,60,46,48,49
20200915,19,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200915,19,CO,0.7,0.7,0.6,0.5,0.5,0.6,0.6,0.7,,0.6,0.5,0.6,0.4,0.7,0.7,0.5,0.5,0.5,0.5,0.8,0.5,0.5,0.5,0.5,0.5,0.4,0.6,0.8,0.5,0.5,,0.6,0.5,0.8,0.4
20200915,19,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200915,20,SO2,1,3,2,3,3,3,3,3,,3,1,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,1,3,,,3,3,1,2
20200915,20,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200915,20,NO2,25,17,29,20,21,20,51,28,,45,24,28,45,33,25,27,11,13,,11,17,14,14,6,50,1,15,23,10,10,,35,42,36,64
20200915,20,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200915,20,O3,50,16,35,43,55,52,19,26,,50,59,47,67,53,40,55,66,30,,61,51,52,66,30,22,76,44,15,31,46,,35,31,46,6
20200915,20,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200915,20,CO,0.8,0.6,0.6,0.5,0.5,0.6,0.7,0.7,,0.7,0.6,0.6,0.5,0.8,0.7,0.5,0.5,0.5,,0.8,0.5,0.5,0.5,0.4,0.4,0.4,0.6,0.8,0.5,0.6,,0.6,0.6,0.7,0.9
20200915,20,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200915,21,SO2,1,3,1,3,3,3,3,3,,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,,3,3,7,1
20200915,21,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200915,21,NO2,35,14,34,22,24,34,53,28,,49,26,51,69,38,39,25,20,10,20,11,11,16,17,6,41,2,22,29,10,9,,42,46,35,62
20200915,21,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200915,21,O3,33,4,29,30,51,30,5,10,,33,50,15,34,40,22,51,52,23,28,59,42,34,51,23,16,66,27,4,22,40,,18,26,40,2
20200915,21,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200915,21,CO,0.9,0.6,0.7,0.6,0.6,0.7,0.8,0.7,,0.8,0.6,0.8,0.6,0.8,0.8,0.5,0.5,0.5,0.5,0.7,0.5,0.5,0.5,0.4,0.4,0.3,0.6,0.8,0.5,,,0.7,0.6,0.8,
20200915,21,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200915,22,SO2,1,3,3,3,3,3,3,3,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,1,3,3,,6,3,2,2
20200915,22,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200915,22,NO2,41,22,44,27,24,36,39,24,,68,29,38,54,28,46,25,27,15,11,10,10,23,25,6,51,2,30,31,9,6,,46,57,49,60
20200915,22,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200915,22,O3,24,8,12,25,43,25,15,11,,14,35,15,21,49,11,45,32,17,36,59,33,19,24,32,16,62,9,3,8,44,,14,13,20,2
20200915,22,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200915,22,CO,1,0.7,0.8,0.6,0.6,0.7,0.7,0.7,,0.9,0.6,0.6,0.5,0.8,0.8,0.5,0.5,0.5,0.4,0.7,0.4,0.5,0.5,0.4,0.3,0.3,0.6,0.8,0.5,,,1,0.7,0.9,
20200915,22,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200915,23,SO2,1,3,3,3,3,3,3,3,,3,1,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,1,3,3,,3,3,2,1
20200915,23,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200915,23,NO2,35,36,40,46,39,43,27,27,,42,23,13,46,44,53,30,36,21,9,7,11,36,27,5,48,2,25,38,33,7,,44,45,59,57
20200915,23,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
