province,date,CO,NO2,NOx,O3,PM10,PM25
Milano,2020-09-16,600.8333333333334,31.388333333333335,51.27291666666666,47.13083333333333,29.5,18.266666666666666
Milano,2020-09-17,606.6666666666667,33.720416666666665,54.77333333333333,47.13583333333334,29.883333333333336,18.233333333333334
Milano,2020-09-18,591.6666666666667,33.19625,55.25583333333333,47.13250000000001,29.15,17.983333333333334
Milano,2020-09-19,591.6666666666666,32.67333333333333,55.233333333333334,47.65083333333334,29.05,17.916666666666664
Milano,2020-09-20,593.3333333333333,32.58375,55.343333333333334,47.1875,28.75,18.0
Milano,2020-09-21,594.1666666666667,32.50791666666667,55.36583333333333,47.028333333333336,28.716666666666665,18.28333333333333
Milano,2020-09-22,593.3333333333334,32.77916666666667,55.52333333333333,47.22,28.55,17.366666666666667
Milano,2020-09-23,593.3333333333334,32.80916666666667,55.64416666666666,46.2025,28.78333333333333,18.566666666666666
Milano,2020-09-24,607.0833333333334,32.85166666666667,55.640833333333326,46.215833333333336,28.883333333333336,19.25
Milano,2020-09-25,612.0833333333334,33.13458333333333,54.790000000000006,46.388333333333335,29.683333333333334,19.96666666666667
Milano,2020-09-26,617.0833333333333,33.59583333333333,54.45,46.61333333333333,30.75,19.566666666666666
Milano,2020-09-27,620.0,33.4625,55.03958333333333,46.57333333333333,29.483333333333334,19.133333333333333
Milano,2020-09-28,613.3333333333333,33.75125,58.86000000000001,45.522499999999994,29.4,19.1
Milano,2020-09-29,616.6666666666667,33.98166666666667,61.035,43.707499999999996,29.083333333333336,18.900000000000002
Milano,2020-09-30,614.1666666666667,34.142916666666665,62.385,42.141666666666666,28.766666666666666,18.75
Milano,2020-10-01,613.3333333333333,34.406666666666666,63.00083333333333,41.68166666666667,28.583333333333336,21.375
Milano,2020-10-02,620.8333333333334,33.348749999999995,61.85166666666666,38.94916666666667,28.866666666666667,19.21666666666667
Milano,2020-10-03,635.4166666666666,34.413333333333334,65.57166666666666,36.474999999999994,29.46666666666667,19.733333333333334
Milano,2020-10-04,641.6666666666666,34.82083333333334,67.31333333333333,34.20166666666667,30.166666666666664,20.233333333333334
Milano,2020-10-05,660.0,35.64041666666667,69.80833333333334,32.370000000000005,28.75,
Milano,2020-10-06,675.8333333333333,36.499583333333334,72.15083333333332,30.941666666666666,31.4,21.833333333333332
Milano,2020-10-07,684.5833333333334,37.251666666666665,74.1475,29.574166666666667,32.166666666666664,20.516666666666666
Milano,2020-10-08,695.0,37.57541666666667,75.78166666666667,28.085833333333333,33.06666666666667,20.616666666666667
Milano,2020-10-09,704.1666666666666,37.697500000000005,76.82916666666667,26.734166666666667,33.266666666666666,20.95
Milano,2020-10-10,712.5,37.7225,77.72541666666666,25.7275,33.88333333333334,21.583333333333336
Milano,2020-10-11,719.5833333333334,37.78208333333333,78.25833333333333,24.740000000000002,34.56666666666667,21.933333333333334
Milano,2020-10-12,725.0,38.20333333333333,78.82166666666666,24.53666666666667,34.483333333333334,21.9
Milano,2020-10-13,739.1666666666667,38.75416666666666,79.93083333333333,24.41166666666667,34.83333333333333,22.1
Milano,2020-10-14,761.6666666666667,39.042500000000004,81.44583333333333,23.865,33.766666666666666,22.583333333333332
Milano,2020-10-15,780.8333333333334,39.05916666666667,83.71,22.923333333333332,36.81666666666666,26.65
Milano,2020-10-16,774.5833333333334,38.973749999999995,79.20833333333333,22.44083333333333,38.2,27.991666666666664
Milano,2020-10-17,771.25,38.91375,79.03333333333333,22.471666666666664,38.0,28.78333333333333
Milano,2020-10-18,774.1666666666667,38.720416666666665,83.11,22.063333333333333,36.7,25.799999999999997
Milano,2020-10-19,786.6666666666666,38.16708333333334,84.05333333333334,21.55083333333333,35.5,24.4
Milano,2020-10-20,806.6666666666666,38.075833333333335,84.81916666666666,21.5975,34.975,22.416666666666664
Milano,2020-10-21,796.25,38.13708333333334,85.00833333333333,21.615,34.650000000000006,23.46666666666667
Milano,2020-10-22,792.5,37.99875,84.69500000000001,20.90416666666667,35.88333333333334,23.183333333333334
Milano,2020-10-23,791.6666666666667,37.88333333333333,85.16166666666666,19.903333333333336,35.7,23.016666666666666
Milano,2020-10-24,793.3333333333334,37.705416666666665,84.68833333333333,20.073333333333334,35.9,22.96666666666667
Milano,2020-10-25,785.8333333333333,37.48958333333333,83.36333333333334,20.984166666666667,35.78333333333333,22.716666666666665
Milano,2020-10-26,774.1666666666667,37.478750000000005,81.95583333333333,21.666666666666668,35.06666666666666,22.316666666666666
